python: can't open file '/home/esaccar/GAN-Leaks/python': [Errno 2] No such file or directory
wandb: Currently logged in as: carlo_saccardi (thesis_carlo). Use `wandb login --relogin` to force relogin
wandb: wandb version 0.14.2 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.14.0
wandb: Run data is saved locally in /home/esaccar/GAN-Leaks/wandb/run-20230418_114721-1rppuu8k
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run dutiful-snowflake-17
wandb: ⭐️ View project at https://wandb.ai/thesis_carlo/privDCGAN
wandb: 🚀 View run at https://wandb.ai/thesis_carlo/privDCGAN/runs/1rppuu8k
/opt/conda/envs/THESIS/lib/python3.10/site-packages/torch/nn/modules/container.py:139: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  input = module(input)
Namespace(lr=0.0002, batch_size=128, image_size=64, nc=3, nz=100, ngf=64, ndf=64, input_size=64, num_epochs=300, disc_epochs=50, dp_delay=100, out_size=None, beta1=0.5, beta2=0.999, data_name='celebAhuge', wandb='privDCGAN', local_config='gan_models/dcgan/dcgan_config.yaml', PATH='/home/esaccar/GAN-Leaks/model_save/privDCGAN', PATH_syn_data='/home/esaccar/GAN-Leaks/syn_data/privDCGAN', save_model=True, saved_model_name=None, training=True, generate=True, N_splits=2, privacy_ratio=0.5)
Epoch 0 of 300 complete. Loss D: 0.15037646251730621, Loss DP: 0.0, Loss G: 1.5797838896512986
Epoch 1 of 300 complete. Loss D: 0.31438760107848795, Loss DP: 0.0, Loss G: 1.1417169496417046
Epoch 2 of 300 complete. Loss D: 0.5105216480791569, Loss DP: 0.0, Loss G: 0.9317013666033744
Epoch 3 of 300 complete. Loss D: 0.5567479878664017, Loss DP: 0.0, Loss G: 0.8744807422161103
Epoch 4 of 300 complete. Loss D: 0.5688656318932772, Loss DP: 0.0, Loss G: 0.8549640610814094
Epoch 5 of 300 complete. Loss D: 0.5390348985791207, Loss DP: 0.0, Loss G: 0.9474011667072773
Epoch 6 of 300 complete. Loss D: 0.5617093842476606, Loss DP: 0.0, Loss G: 0.9321434959769249
Epoch 7 of 300 complete. Loss D: 0.5778991892933846, Loss DP: 0.0, Loss G: 0.9490581929683686
Epoch 8 of 300 complete. Loss D: 0.5517222609370946, Loss DP: 0.0, Loss G: 0.9449489742517472
Epoch 9 of 300 complete. Loss D: 0.5741637036204338, Loss DP: 0.0, Loss G: 0.8991262868046761
Epoch 10 of 300 complete. Loss D: 0.556918765604496, Loss DP: 0.0, Loss G: 0.9582844376564026
Epoch 11 of 300 complete. Loss D: 0.4964003872126341, Loss DP: 0.0, Loss G: 1.1299171149730682
Epoch 12 of 300 complete. Loss D: 0.5343097638338804, Loss DP: 0.0, Loss G: 1.0524580642580985
Epoch 13 of 300 complete. Loss D: 0.5328198194503784, Loss DP: 0.0, Loss G: 1.0453212976455688
Epoch 14 of 300 complete. Loss D: 0.5216476254165172, Loss DP: 0.0, Loss G: 0.9010411150753498
Epoch 15 of 300 complete. Loss D: 0.5434207335114479, Loss DP: 0.0, Loss G: 0.9504860661923885
Epoch 16 of 300 complete. Loss D: 0.5472806006669998, Loss DP: 0.0, Loss G: 0.9516551986336708
Epoch 17 of 300 complete. Loss D: 0.5132288463413716, Loss DP: 0.0, Loss G: 0.9685343477874995
Epoch 18 of 300 complete. Loss D: 0.5218805003911257, Loss DP: 0.0, Loss G: 0.9519652791321278
